中文片名,英文片名,期待度,上映日期
自殺突擊隊：集結,The Suicide Squad,98%, 2021-08-05
驅魔禁區,Demonic,無資料, 2021-08-05
比得兔兔,Peter Rabbit™ 2: The Runaway,85%, 2021-08-06
路卡的夏天,LUCA,91%, 2021-08-06
怒火,,87%, 2021-08-06
薄荷糖,Peppermint Candy,63%, 2021-08-06
人聲,The Human Voice,100%, 2021-08-06
雙面薇若妮卡 經典數位修復,The Double Life of Veronique,100%, 2021-08-06
合法伴侶,Special Couple,無資料, 2021-08-06
隱瞞之事 秘密之事是什麼？,"Kouji Kumeta, KODANSHA/KAKUSHIGOTO Movie Committee",100%, 2021-08-07
玩命關頭9,Fast & Furious 9,92%, 2021-08-11
被偷走的童年,When Hitler Stole Pink Rabbit,98%, 2021-08-13
感動她77次,77 Heartwarmings,100%, 2021-08-13
汪汪隊立大功電影版,PAW Patrol: The Movie,100%, 2021-08-13
第六感追緝令,Basic Instinct,100%, 2021-08-13
未來之書,The Book of Vision,無資料, 2021-08-13
特種部隊：蛇眼之戰,Snake Eyes,89%, 2021-08-18
追憶人,Reminiscence,88%, 2021-08-19
寶貝老闆：家大業大,The Boss Baby: Family Business,89%, 2021-08-20
期末考,Final Exam,88%, 2021-08-20
密弒遊戲2：勝者危亡,Escape Room: Tournament of Champions,100%, 2021-08-20
三島由紀夫vs東大全共鬪,Mishima: The Last Debate,100%, 2021-08-20
銀河騎士傳 織愛之星,Knights of Sidonia:Love Woven in the Stars,無資料, 2021-08-20
摯愛之路,ADN,100%, 2021-08-20
哭泣的憂羅娜,La Llorona,無資料, 2021-08-20
噤界II,A Quiet Place Part II,94%, 2021-08-25
殺手保鑣2,The Hitman's Wife's Bodyguard,93%, 2021-08-25
疾凍救援,The Ice Road,67%, 2021-08-25
強運燒肉饌,Food Luck,88%, 2021-08-27
疾厄,Malignant,100%, 2021-09-02
靈魂心聲,Respect,60%, 2021-09-03
尚氣與十環傳奇,Shang-Chi and the Legend of the Ten Rings,68%, 2021-09-03
亂世浮生,The Crying Game,100%, 2021-09-03
暫時停止呼吸2,Don't Breathe 2,100%, 2021-09-03
糖果人,Candyman,80%, 2021-09-10
女畫家與偷畫賊,The Painter and the Thief,78%, 2021-09-10
老闆衝殺小,My Boss Is A Serial Killer,100%, 2021-09-10
猛毒2：血蜘蛛,Venom: Let There Be Carnage,100%, 2021-09-16
奔馳吧！小馬王,Spirit Untamed,92%, 2021-09-17
大紅狗克里弗,Clifford the Big Red Dog,100%, 2021-09-17
007生死交戰,No Time to Die,94%, 2021-10-01
尖叫旅社：變形怪獸,Hotel Transylvania: Transformania,100%, 2021-10-08
沙丘,Dune,89%, 2021-10-14
月光光新慌慌：萬聖殺,Halloween Kills,100%, 2021-10-15
魔鬼剋星：未來世,Ghostbusters: Afterlife,84%, 2021-11-11
迷離夜蘇活,Last Night in Soho,100%, 2021-11-12
捍衛戰士：獨行俠,Top Gun: Maverick,93%, 2021-11-19
王者理查,King Richard,無資料, 2021-11-19
歡樂好聲音2,Sing 2,100%, 2021-12-31
魔比斯,Morbius,86%, 2022-01-16
打怪大亂鬥,Rumble,62%, 2022-02-25
蝙蝠俠,The Batman,92%, 2022-03-04
小小兵2：格魯的崛起,Minions: The Rise of Guru,93%, 2022-07-01
